10180,"Abilene, TX"
10380,"Aguadilla-Isabela-San Sebastián, PR"
10420,"Akron, OH"
10500,"Albany, GA"
10580,"Albany-Schenectady-Troy, NY"
10740,"Albuquerque, NM"
10780,"Alexandria, LA"
10900,"Allentown-Bethlehem-Easton, PA-NJ"
11020,"Altoona, PA"
11100,"Amarillo, TX"
11180,"Ames, IA"
11260,"Anchorage, AK"
11300,"Anderson, IN"
11340,"Anderson, SC"
11460,"Ann Arbor, MI"
11500,"Anniston-Oxford, AL"
11540,"Appleton, WI"
11700,"Asheville, NC"
12020,"Athens-Clarke County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA"
12100,"Atlantic City-Hammonton, NJ"
12220,"Auburn-Opelika, AL"
12260,"Augusta-Richmond County, GA-SC"
12420,"Austin-Round Rock-San Marcos, TX"
12540,"Bakersfield-Delano, CA"
12580,"Baltimore-Towson, MD"
12620,"Bangor, ME"
12700,"Barnstable Town, MA"
12940,"Baton Rouge, LA"
12980,"Battle Creek, MI"
13020,"Bay City, MI"
13140,"Beaumont-Port Arthur, TX"
13380,"Bellingham, WA"
13460,"Bend, OR"
13740,"Billings, MT"
13780,"Binghamton, NY"
13820,"Birmingham-Hoover, AL"
13900,"Bismarck, ND"
13980,"Blacksburg-Christiansburg-Radford, VA"
14020,"Bloomington, IN"
14060,"Bloomington-Normal, IL"
14260,"Boise City-Nampa, ID"
14460,"Boston-Cambridge-Quincy, MA-NH"
14500,"Boulder, CO"
14540,"Bowling Green, KY"
14740,"Bremerton-Silverdale, WA"
14860,"Bridgeport-Stamford-Norwalk, CT"
15180,"Brownsville-Harlingen, TX"
15260,"Brunswick, GA"
15380,"Buffalo-Niagara Falls, NY"
15500,"Burlington, NC"
15540,"Burlington-South Burlington, VT"
15940,"Canton-Massillon, OH"
15980,"Cape Coral-Fort Myers, FL"
16020,"Cape Girardeau-Jackson, MO-IL"
16180,"Carson City, NV"
16220,"Casper, WY"
16300,"Cedar Rapids, IA"
16580,"Champaign-Urbana, IL"
16620,"Charleston, WV"
16700,"Charleston-North Charleston-Summerville, SC"
16740,"Charlotte-Gastonia-Rock Hill, NC-SC"
16820,"Charlottesville, VA"
16860,"Chattanooga, TN-GA"
16940,"Cheyenne, WY"
16980,"Chicago-Joliet-Naperville, IL-IN-WI"
17020,"Chico, CA"
17140,"Cincinnati-Middletown, OH-KY-IN"
17300,"Clarksville, TN-KY"
17420,"Cleveland, TN"
17460,"Cleveland-Elyria-Mentor, OH"
17660,"Coeur d'Alene, ID"
17780,"College Station-Bryan, TX"
17820,"Colorado Springs, CO"
17860,"Columbia, MO"
17900,"Columbia, SC"
17980,"Columbus, GA-AL"
18020,"Columbus, IN"
18140,"Columbus, OH"
18580,"Corpus Christi, TX"
18700,"Corvallis, OR"
18880,"Crestview-Fort Walton Beach-Destin, FL"
19060,"Cumberland, MD-WV"
19100,"Dallas-Fort Worth-Arlington, TX"
19140,"Dalton, GA"
19180,"Danville, IL"
19260,"Danville, VA"
19340,"Davenport-Moline-Rock Island, IA-IL"
19380,"Dayton, OH"
19460,"Decatur, AL"
19500,"Decatur, IL"
19660,"Deltona-Daytona Beach-Ormond Beach, FL"
19740,"Denver-Aurora-Broomfield, CO"
