census_code,occupation_title,high_pd,any_pd,dwc,difficult,onet_version,oews_year,offshorability
10,Chief executives,0.0,0.0,0.0,0.0,14.0,2004,0.46866226
20,General and operations managers,0.0,0.0,0.0,0.0,14.0,2004,-0.14223063
30,Legislators,0.0,0.0,0.0,0.0,14.0,2004,0.46866226
40,Advertising and promotions managers,0.0,0.0,0.0,0.0,14.0,2004,0.32495964
50,Marketing and sales managers,0.0,0.0,0.0,0.0,14.0,2004,0.32495964
60,Public relations managers,0.0,0.0,0.0,0.0,14.0,2004,0.32495964
100,Administrative services managers,0.0,0.0,0.0,0.0,14.0,2004,-0.14223063
110,Computer and information systems managers,0.0,0.0,0.0,0.0,14.0,2004,-0.14223063
120,Financial managers,0.0,0.0,0.0,0.0,14.0,2004,0.47275448
130,Human resources managers,0.0,0.0,0.0,0.0,14.0,2004,1.1813816
140,Industrial production managers,0.0,0.0,1.0,1.0,14.0,2004,-0.14223063
150,Purchasing managers,0.0,0.0,0.0,0.0,14.0,2004,0.9856056
160,"Transportation, storage, and distribution managers",0.0,0.0,0.0,0.0,14.0,2004,0.71980846
200,"Farm, ranch, and other agricultural managers",0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,14.0,2004,-1.1741353
210,Farmers and ranchers,0.0,0.0,1.0,1.0,14.0,2004,-0.1618563
220,Construction managers,0.0,0.0,1.0,1.0,14.0,2004,-0.14223063
230,Education administrators,0.0,0.0,0.0,0.0,14.0,2004,-1.1653323
300,Engineering managers,0.0,0.0,0.0,0.0,14.0,2004,-0.14223063
310,Food service managers,0.0,1.0,0.0,1.0,14.0,2004,-0.14223063
320,Funeral directors,0.0,0.0,1.0,1.0,14.0,2004,-2.209604
330,Gaming managers,0.0,0.0,0.0,0.0,14.0,2004,-0.14223063
340,Lodging managers,0.0,0.0,0.0,0.0,14.0,2004,-0.14223063
350,Medical and health services managers,0.0,0.0,0.0,0.0,14.0,2004,-2.188437
360,Natural sciences managers,0.0,0.0,0.0,0.0,14.0,2004,-0.14223063
400,Postmasters and mail superintendents,0.0,0.0,0.0,0.0,14.0,2004,-0.14223063
410,"Property, real estate, and community association managers",0.0,0.0,0.0,0.0,14.0,2004,0.4990003
420,Social and community service managers,0.0,0.0,0.0,0.0,14.0,2004,-0.14223063
430,"Managers, all other",0.0,0.0,0.0,0.0,14.0,2004,-0.14223063
500,"Agents and business managers of artists, performers, and athletes",0.0,0.0,0.0,0.0,14.0,2004,0.7345849
510,"Purchasing agents and buyers, farm products",0.0,0.0,0.0,0.0,14.0,2004,0.7120725
520,"Wholesale and retail buyers, except farm products",0.0,0.0,0.0,0.0,14.0,2004,1.1786948
530,"Purchasing agents, except wholesale, retail, and farm products",0.0,0.0,0.0,0.0,14.0,2004,0.9856056
540,"Claims adjusters, appraisers, examiners, and investigators",0.0,0.0,0.05059199094839779,0.05059199094839779,14.0,2004,1.7648889
560,"Compliance officers, except agriculture, construction, health and safety, and transportation",0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,14.0,2004,-0.057901263
600,Cost estimators,0.0,0.0,0.0,0.0,14.0,2004,-0.14223063
620,"Human resources, training, and labor relations specialists",0.0,0.0,0.0,0.0,14.0,2004,0.63267636
700,Logisticians,0.0,0.0,0.0,0.0,14.0,2004,2.7579606
710,Management analysts,0.0,0.0,0.0,0.0,14.0,2004,-0.052943587
720,Meeting and convention planners,0.0,0.0,0.0,0.0,14.0,2004,-0.14223063
730,Other business operations specialists,0.0,0.0,0.6525979278203597,0.6525979278203597,14.0,2004,0.0085452795
800,Accountants and auditors,0.0,0.0,0.0,0.0,14.0,2004,1.9673074
810,Appraisers and assessors of real estate,0.0,0.0,0.5,0.5,14.0,2004,-0.07501614
820,Budget analysts,0.0,0.0,0.0,0.0,14.0,2004,1.3725127
830,Credit analysts,0.0,0.0,0.0,0.0,14.0,2004,1.3725127
840,Financial analysts,0.0,0.0,0.0,0.0,14.0,2004,1.3725127
850,Personal financial advisors,0.0,0.0,0.0,0.0,14.0,2004,1.3725127
860,Insurance underwriters,0.0,0.0,0.0,0.0,14.0,2004,2.551788
900,Financial examiners,0.0,0.0,0.0,0.0,14.0,2004,-0.057901263
910,Loan counselors and officers,0.0,0.0,0.0,0.0,14.0,2004,1.3725127
930,"Tax examiners, collectors, and revenue agents",0.0,0.0,0.0,0.0,14.0,2004,1.9673074
940,Tax preparers,0.0,0.0,0.0,0.0,14.0,2004,1.3725127
950,"Financial specialists, all other",0.0,0.0,0.015537124920779875,0.015537124920779875,14.0,2004,1.3725127
1000,Computer scientists and systems analysts,0.0,0.04990009321474806,0.0,0.04990009321474806,14.0,2004,0.55302966
1010,Computer programmers,0.0,0.0,0.0,0.0,14.0,2004,2.6609855
1020,Computer software engineers,0.0,0.0,0.0,0.0,14.0,2004,2.6609855
1040,Computer support specialists,0.0,0.0,0.0,0.0,14.0,2004,0.55302966
1060,Database administrators,0.0,1.0,0.0,1.0,14.0,2004,0.55302966
1100,Network and computer systems administrators,0.0,0.0,0.0,0.0,14.0,2004,0.55302966
1110,Network systems and data communications analysts,0.0,0.0,0.0,0.0,14.0,2004,0.55302966
1200,Actuaries,0.0,0.0,0.0,0.0,14.0,2004,2.5070732
1210,Mathematicians,0.0,0.0,0.0,0.0,14.0,2004,
1220,Operations research analysts,0.0,0.0,0.0,0.0,14.0,2004,2.7579606
1230,Statisticians,0.0,0.0,0.0,0.0,14.0,2004,
1240,Miscellaneous mathematical science occupations,0.0,0.0,0.0,0.0,14.0,2004,2.7870965
1300,"Architects, except naval",0.0,0.0,0.0,0.0,14.0,2004,0.15837348
1310,"Surveyors, cartographers, and photogrammetrists",0.0,0.1577937649880096,0.8422062350119904,1.0,14.0,2004,-0.17191468
1320,Aerospace engineers,0.0,0.0,0.0,0.0,14.0,2004,0.9344667
1330,Agricultural engineers,0.0,0.0,0.0,0.0,14.0,2004,
1340,Biomedical engineers,0.0,0.0,0.0,0.0,14.0,2004,
1350,Chemical engineers,0.0,0.0,0.0,0.0,14.0,2004,0.38232005
1360,Civil engineers,0.0,0.0,0.0,0.0,14.0,2004,0.10051954
1400,Computer hardware engineers,0.0,0.0,0.0,0.0,14.0,2004,1.3399316
1410,Electrical and electronic engineers,0.0,0.0,0.0,0.0,14.0,2004,1.3399316
1420,Environmental engineers,0.0,0.0,0.0,0.0,14.0,2004,0.12239017
1430,"Industrial engineers, including health and safety",0.0,0.0,0.8712279653420975,0.8712279653420975,14.0,2004,0.50717866
1440,Marine engineers and naval architects,0.0,0.0,0.0,0.0,14.0,2004,0.12239017
