census_code,occupation_title,high_pd,any_pd,dwc,difficult
10,Chief executives,0.0,0.0,0.0,0.0
20,General and operations managers,0.0,0.0,0.0,0.0
30,Legislators,0.0,0.0,0.0,0.0
40,Advertising and promotions managers,0.0,0.0,0.0,0.0
50,Marketing and sales managers,0.0,0.0,0.0,0.0
60,Public relations and fundraising managers,0.0,0.0,0.0,0.0
100,Administrative services managers,0.0,0.0,0.0,0.0
110,Computer and information systems managers,0.0,0.0,0.0,0.0
120,Financial managers,0.0,0.0,0.0,0.0
135,Compensation and benefits managers,0.0,0.0,0.0,0.0
136,Human resources managers,0.0,0.0,0.0,0.0
137,Training and development managers,0.0,0.0,0.0,0.0
140,Industrial production managers,0.0,0.0,0.7142857142857143,0.7142857142857143
150,Purchasing managers,0.0,0.0,0.0,0.0
160,"Transportation, storage, and distribution managers",0.0,0.0,0.25,0.25
205,"Farmers, ranchers, and other agricultural managers",0.0,0.25,0.75,0.75
220,Construction managers,0.0,0.0,0.0,0.0
230,Education administrators,0.0,0.0,0.0,0.0
300,Architectural and engineering managers,0.0,0.0,0.0,0.0
310,Food service managers,0.0,1.0,0.0,1.0
325,Funeral service managers,0.0,0.0,0.0,0.0
330,Gaming managers,0.0,0.0,0.0,0.0
340,Lodging managers,0.0,0.0,0.0,0.0
350,Medical and health services managers,0.0,0.0,0.0,0.0
360,Natural sciences managers,0.0,0.0,0.0,0.0
400,Postmasters and mail superintendents,0.0,0.0,0.0,0.0
410,"Property, real estate, and community association managers",0.0,0.0,0.0,0.0
420,Social and community service managers,0.0,0.0,0.0,0.0
425,Emergency management directors,0.0,0.0,0.0,0.0
430,"Managers, all other",0.0,0.0,0.0,0.0
500,"Agents and business managers of artists, performers, and athletes",0.0,0.0,0.0,0.0
510,"Buyers and purchasing agents, farm products",0.0,0.0,0.0,0.0
520,"Wholesale and retail buyers, except farm products",0.0,0.0,0.0,0.0
530,"Purchasing agents, except wholesale, retail, and farm products",0.0,0.0,0.0,0.0
540,"Claims adjusters, appraisers, examiners, and investigators",0.0,0.16666666666666666,0.5,0.6666666666666666
565,Compliance officers,0.0,0.0,0.0,0.0
600,Cost estimators,0.0,0.0,0.0,0.0
630,Human resources workers,0.0,0.0,0.3333333333333333,0.3333333333333333
640,"Compensation, benefits, and job analysis specialists",0.0,0.0,0.0,0.0
650,Training and development specialists,0.0,0.0,0.0,0.0
700,Logisticians,0.0,0.0,0.0,0.0
710,Management analysts,0.0,0.0,0.0,0.0
725,"Meeting, convention, and event planners",0.0,0.0,0.0,0.0
726,Fundraisers,0.0,0.0,0.0,0.0
735,Market research analysts and marketing specialists,0.0,0.0,0.0,0.0
740,"Business operations specialists, all other",0.0,0.0,0.0,0.0
800,Accountants and auditors,0.0,0.0,0.0,0.0
